"Story","Title","Result","Date","Stability","Duration (s)"
"Social Red","See X","SUCCESS","2024-08-30T15:05:26.031-05:00[America/Bogota]","0.0","14.88"
"Social Red","See Facebook","SUCCESS","2024-08-30T15:05:42.059-05:00[America/Bogota]","0.0","11.82"
"Social Red","See Linkedin","SUCCESS","2024-08-30T15:05:54.692-05:00[America/Bogota]","0.0","13.07"
